phenotypeId,webApiCohortId,cohortName,logicDescription,cohortId,referentConceptId,cohortType,PMID
201820000,19031,Type 2 diabetes mellitus incident cohort: First condition occurrence of Type 2 diabetes mellitus conceptset or Type 2 diabetes treatment or HbA1c > 6.5 and no prior observation of History of diabetes and observation period of 365 days,Type 2 diabetes mellitus incident cohort: First condition occurrence of 'Type 2 diabetes mellitus' conceptset or Type 2 diabetes treatment or HbA1c > 6.5 and no prior observation of 'History of diabetes' and observation period of 365 days,201826008,201826,,
201820000,17467,Diabetic ketoacidosis referent incident cohort,"Persons with condition occurrence of referent concept (443727) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",443727001,443727,referent,
201820000,17466,Diabetic ketoacidosis referent prevalent cohort,"Persons with condition occurrence of referent concept (443727) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",443727002,443727,referent,
201820000,17798,Gestational diabetes mellitus referent incident cohort,"Persons with condition occurrence of referent concept (4024659) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",4024659001,4024659,referent,
201820000,17797,Gestational diabetes mellitus referent prevalent cohort,"Persons with condition occurrence of referent concept (4024659) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",4024659002,4024659,referent,
201820000,17762,"Gestational diabetes events, defined by condition occurrence of gestational diabetes conceptset in females",,4024659003,4024659,,
201965000,17673,Sepsis referent incident cohort,"Persons with condition occurrence of referent concept (132797) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",132797001,132797,referent,
201965000,17672,Sepsis referent prevalent cohort,"Persons with condition occurrence of referent concept (132797) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",132797002,132797,referent,
201965000,17728,"Sepsis during hospitalization, defined by condition occurrences of sepsis conceptset occurring between start and end of inpatient visit","Sepsis during hospitalization, defined by condition occurrences of 'sepsis' conceptset occurring between start and end of inpatient visit",132797003,132797,,
201965000,18629,Cardiogenic shock referent incident cohort,"Persons with condition occurrence of referent concept (198571) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",198571001,198571,referent,
201965000,18628,Cardiogenic shock referent prevalent cohort,"Persons with condition occurrence of referent concept (198571) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",198571002,198571,referent,
201965000,18604,"Cardiogenic shock by Vallabhajosyula, All events of Cardiogenic shock during inpatient or ER",not requiring MI,198571003,198571,literature,
201965000,18709,Toxic shock syndrome referent incident cohort,"Persons with condition occurrence of referent concept (201214) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",201214001,201214,referent,
201965000,18708,Toxic shock syndrome referent prevalent cohort,"Persons with condition occurrence of referent concept (201214) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",201214002,201214,referent,
201965000,17788,Cardiac arrest referent incident cohort,"Persons with condition occurrence of referent concept (321042) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",321042001,321042,referent,
201965000,17787,Cardiac arrest referent prevalent cohort,"Persons with condition occurrence of referent concept (321042) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",321042002,321042,referent,
201965000,18699,Systemic inflammatory response syndrome referent incident cohort,"Persons with condition occurrence of referent concept (434821) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",434821001,434821,referent,
201965000,18698,Systemic inflammatory response syndrome referent prevalent cohort,"Persons with condition occurrence of referent concept (434821) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",434821002,434821,referent,
24609000,17523,Hypoglycemia referent incident cohort,"Persons with condition occurrence of referent concept (24609) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",24609001,24609,referent,
24609000,17522,Hypoglycemia referent prevalent cohort,"Persons with condition occurrence of referent concept (24609) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",24609002,24609,referent,
24609000,17831,Hypoglycemia disorder concept design diagnostics 1 cohort,Hypoglycemic disorder at first diagnosis with 365 days continous observation. Cohort exist is the end of continous observable time for the person.,24609003,24609,design diagnostics,
254443000,18754,Sjögrens syndrome referent incident cohort,"Persons with condition occurrence of referent concept (254443) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",254443001,254443,referent,
254443000,18753,Sjögrens syndrome referent prevalent cohort,"Persons with condition occurrence of referent concept (254443) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",254443002,254443,referent,
254443000,8816,Sjogrens syndrome at first diagnosis,Sjogrens Syndrome at first diagnosis with 365 days continuous observation. Cohort exit is the end of continuous observable time for the person.,254443003,254443,,
254443000,18367,Sjogrens syndrome wtih keratoconjunctivitis sicca at first diagnosis,Sjogrens Syndrome with keratoconjunctivitis sicca at first diagnosis with 365 days continuous observation. Cohort exit is the end of continuous observable time for the person.,254443004,254443,,
255573000,17445,Chronic obstructive lung disease referent incident cohort,"Persons with condition occurrence of referent concept (255573) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",255573001,255573,referent,
255573000,17444,Chronic obstructive lung disease referent prevalent cohort,"Persons with condition occurrence of referent concept (255573) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",255573002,255573,referent,
255573000,17742,"Hospitalization for Chronic obstructive pulmonary disease, defined by inpatient visit with a primary condition occurrence of COPD conceptset",,255573003,255573,,
255573000,17766,"Chronic obstructive pulmonary disease (COPD) prevalent cohort, defined by condition occurrence of COPD or drug exposure for COPD mono- or combo-therapy at age>55 and no condition of asthma",,255573004,255573,,
255848000,17629,Pneumonia referent incident cohort,"Persons with condition occurrence of referent concept (255848) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",255848001,255848,referent,
255848000,17628,Pneumonia referent prevalent cohort,"Persons with condition occurrence of referent concept (255848) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",255848002,255848,referent,
255848000,17727,"Pneumonia during hospitalization, defined by condition occurrences of Pneumonia conceptset occurring between start and end of inpatient visit",,255848003,255848,,
255848000,17743,"Pneumonia prevalent cohort: Episodes of pneumonia, defined by condition occurrences of pneumonia conceptset",,255848004,255848,,
257628000,17679,Systemic lupus erythematosus referent incident cohort,"Persons with condition occurrence of referent concept (257628) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",257628001,257628,referent,
257628000,17678,Systemic lupus erythematosus referent prevalent cohort,"Persons with condition occurrence of referent concept (257628) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",257628002,257628,referent,
257628000,13719,Systemic lupus erythematosus (SLE) at first diagnosis,Systemic Lupus Erythematosus at first diagnosis with 365 days continuous observation. Cohort exit is the end of continuous observable time for the person.,257628003,257628,,
257628000,18544,"Systemic lupus erythematosus (SLE) as per Hanly et al (Canada, 2014)",,257628004,257628,literature,
257628000,18551,"Systemic lupus erythematosus (SLE) as per Klein et al (US, 2010)",,257628005,257628,literature,
257628000,18559,"Systemic lupus erythematosus (SLE), Incident as per Rees et al (UK, 2016)",,257628006,257628,literature,
257628000,18605,Systemic lupus erythematosus (SLE) as per Chibnik et al (2 diagnoses of SLE),,257628007,257628,literature,
257628000,18826,Systemic Lupus Erythmatosus Hanly 1,Systemic Lupus Erythematosus Hanly (2014) 2+ codes least 2 months apart,257628008,257628,literature,25057038
257628000,18827,Systemic Lupus Erythmatosus Hanly 2,Systemic Lupus Erythematosus Hanly (2014) 3+ codes,257628009,257628,literature,25057038
257628000,18828,Systemic Lupus Erythmatosus Hanly 3,Systemic Lupus Erythematosus Hanly (2014) 1+ codes,257628010,257628,literature,25057038
257628000,18829,Systemic Lupus Erythmatosis Jorge 1,Systemic Lupus Erythematosus Jorge (2019) 4+ codes and ever antimalarial use,257628011,257628,literature,30665626
257628000,18830,Systemic Lupus Erythmatosis Jorge 2,Systemic Lupus Erythematosus Jorge (2019) 3+ codes and ever antimalarial use,257628012,257628,literature,30665626
257628000,18831,Systemic Lupus Erythmatosis Jorge 3,Systemic Lupus Erythematosus Jorge (2019) 3+ codes and ever DMARD use and ever steroid use,257628013,257628,literature,30665626
257628000,18832,Systemic Lupus Erythmatosis Jorge 4,Systemic Lupus Erythematosus Jorge (2019) 4+ codes and ever DMARD use and ever steroid use,257628014,257628,literature,30665626
312939000,18703,Thromboangiitis obliterans referent incident cohort,"Persons with condition occurrence of referent concept (312939) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",312939001,312939,referent,
312939000,18702,Thromboangiitis obliterans referent prevalent cohort,"Persons with condition occurrence of referent concept (312939) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",312939002,312939,referent,
313459000,17677,Sleep apnea referent incident cohort,"Persons with condition occurrence of referent concept (313459) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",313459001,313459,referent,
313459000,17676,Sleep apnea referent prevalent cohort,"Persons with condition occurrence of referent concept (313459) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",313459002,313459,referent,
313800000,18705,Thrombotic microangiopathy referent incident cohort,"Persons with condition occurrence of referent concept (313800) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",313800001,313800,referent,
313800000,18704,Thrombotic microangiopathy referent prevalent cohort,"Persons with condition occurrence of referent concept (313800) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",313800002,313800,referent,
313800000,18570,"Thrombotic microangiopathy events, based on diagnosis codes from Reynolds AJKD 2003 and Perkins NDT 2006",,313800003,313800,literature,
316139000,17505,Heart failure referent incident cohort,"Persons with condition occurrence of referent concept (316139) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",316139001,316139,referent,
316139000,17504,Heart failure referent prevalent cohort,"Persons with condition occurrence of referent concept (316139) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",316139002,316139,referent,
316139000,17734,"Heart failure during hospitalization, defined by condition occurrences of Heart Failure conceptset occurring between start and end of inpatient visit","Heart failure during hospitalization, defined by condition occurrences of 'Heart Failure' conceptset occurring between start and end of inpatient visit",316139003,316139,,
316139000,7369,"Heart failure prevalent cohort, defined as the earliest condition occurrence of Heart Failure conceptset with a second condition occurrence in the 365d after entry","Heart failure prevalent cohort, defined as the earliest condition occurrence of 'Heart Failure' conceptset with a second condition occurrence in the 365d after entry",316139004,316139,,
316866000,17521,Hypertensive disorder referent incident cohort,"Persons with condition occurrence of referent concept (316866) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",316866001,316866,referent,
316866000,17520,Hypertensive disorder referent prevalent cohort,"Persons with condition occurrence of referent concept (316866) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",316866002,316866,referent,
316866000,17760,Hypertensive disorder prevalent cohort: First condition occurrence of Hypertension conceptset,,316866003,316866,,
318443000,17409,Arteriosclerotic vascular disease referent incident cohort,"Persons with condition occurrence of referent concept (318443) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",318443001,318443,referent,
