phenotypeId,phenotypeName,clinicalDescription
141232000,Malignant melanoma of skin,"Overview: Melanoma occurs when the pigment-producing cells that give color to the skin become cancerous. Occurs when pigment producing cells called melanocytes mutate and begin to divide uncontrollably. Presentation: A new, unusual growth or a change in an existing mole. Melanomas can occur anywhere on the body. Melanoma is relatively rare in people with darker skin. (types - superficial spreading melanoma. nodular melanoma, lentigo maligna melanoma, and acral lentiginous melanomaPresentation: Skin changes/existing mole changes, skin sores that do not heal or bleeds, is painful, itchy or tender Assessment: Lesion examination called ABCDE examination - looking at moles for cancerous lesion - asymmetric, border, color, diameter, evolving Plan: Depends on stage. Surgery, radiation, medications, chemotherapy Prognosis: Melanoma is an aggressive type of cancer that can be dangerous when it spreads. Identification of a lesion early has a good outlook."
141456000,Chilblains,"Overview: aka Pernio, perniosis - is a condition characterized by cold induced erythrocyantoic skin lesions - erythematous (red) to violaceous (purple) macules (flat lesions), papules (small raised lesions), plaques (flat topped raised lesions, larger than papules) or nodules - commonly on fingers and toes. Has been seen in COVID-19 disease. Presentation: Acute eruptions that commonly begin 12 to 24 hours after cold exposure as erythematous or violaceous lesions on the fingers and toes with abnormal sensation of itching, burning or pain. Complications may occur with blistering, ulceration and secondary infection. Assessment: Evaluate for covid 19, inflammatory disease (sed rate, rheumatoid factor, ANA for lupus). Pernio is different from chilblain lupus erythematosus (i.e. associated with Lupus, this is considered chronic). Plan: If mediated by COVID-19 infection, supportive care including anticoagulation. Prevention by reducing cold exposure (gloves, socks). Prognosis: Self-limited when occuring during COVID-19 infection."
141933000,Alopecia areata,"Overview: Alopecia areata is a rare type of alopecia that is described as hair loss of varying patterns that maybe any combination of generalized vs discrete, rapid vs gradual, partial or complete. Presentation: Discrete area of sudden hair loss without any signs of inflammation such as redness or itching. Assessment: There is no diagnostic test. Diagnosis is based on clinical judgment and elimination of other causes of alopecia. Differential diagnosis includes pattern baldness, infections, trichotillomania. Rarely punch biopsy is indicated. Thyroid screening may be considered. Plan: Topical steroids are occasionally used. Otherwise, wait for spontaneous resolution or monitor. Prognosis: Commonly spontaneously resolves in about a year."
192671000,Gastrointestinal hemorrhage,"Overview: Bleeding from any part of the gastrointestinal tract, but commonly referring to hematemesis (red or curdled blood) from esophagus or upper gi tract, or melena from lower GI tract. Rectal bleeding or oropharyngeal bleeding are not thought to be GI hemorrhage. This phenotype is divided into either upper GI bleeding or lower GI bleeding. Presentation: Overt - vomiting blood (red or dark brown coffee-ground texture), black, tarry stool/rectal bleeding; Occult - dizzy, abd pain, pale, weakAssessment: CBC, stool test (occult bleeding), NG lavage, upper endoscopy, colonoscopy , sigmoidoscopy, angiography, abd CTPlan: proton pump inhibitor (PPI), procedures to control the bleeding (during an endoscopy...)Prognosis: Can stop on its own, but depends on where the bleed is from and cause (eg., peptic ulcer, esophageal varices, Mallory-Weiss syndrome, colitis, hemorrhoids, etc)"
192675000,Biliary cirrhosis,Overview: a disease of immune system with T-cell mediated attack on intralobular hepatic bile ducts. Presentation: Patients may be asymptomatic or may have signs and symptoms of cholestasis like fatigue to pruritus. Assessment: liver enzyme with alkaline phosphatase elevation. antimitochondrial antibodies (AMA) is considered serologic hallmark. Plan: symptom management. Disease progression may be slowed with ursodeoxycholic acid. Prognosis: long term disease that may progress with portal hypertension and/or hepatocellular carcinoma.
194702000,Prelabor Rupture of Membranes,"Overview: Prelabor rupture of membranes (PROM) refers to membrane rupture before the onset of uterine contractions. A subset of this is Preterm PROM (PPROM) refers to PROM before 37+0 weeks of gestation. PPROM occurs in upto 3% of pregnancies. Presentation: 'Gush' of fluid or leaking of fluid. Plan: direct visual exam of cervix, digital exam should be avoided to prevent infection. Tests for amniotic fluid. Prognosis: Good in the absence of infection. Most deliver within one week, even in PPROM."
197508000,Bladder cancer,"Overview: Most common malignancy of urinary system, with urothelial (transitional cell) carcinoma being the predominant type arising from the bladder cancer. Presentation: hematuria (intermitted, gross, painless) with micturation. In advanced stages there may be pain. Assessment: suspected in unexpalined hematuria in indivduals > 35 years. Urinalysis, urine cytology to confirm. Cystoscopy is the gold standard initial diagnosis. Once confirmed, staging may be done with imaging. Plan: depends on stage and risk stratification. Cystectomy in earlier stages. Advanced stages - platinum based neoadjuvant therapy, chemotherapy, immunotherapy. Prognosis: depends on stage/risk at diagnosis. Cystectomy or obstructions maybe associated with poor prognosis."
198984000,Cervical cancer,"Overview: Cancer of the uterine cervix is the 3rd most common GYN cancer diagnosis HPV is central to the development of cervical neoplasia. Most common histologic types of cervical cancer are squamous cell (70 % of cervical cancers) and adenocarcinoma (25 %) Presentation: Frequently asymptomatic, irregular or heavy vaginal bleeding, postcoital bleeding, vaginal discharge Assessment: pap test, pelivc exam (visualization of the cervix), cervical cytology, HPV testing, cervical biopsy and coloscopyPlan: surgery (hysterectomy, cervicectomy, cryosurgery), radiation, and chemotherapyPrognosis: Mean age at diagnosis is 50 y/o. detected at an early stage, the better the prognosis. If cervical cancer has spread to surrounding tissues or organs and/or the regional lymph nodes, the 5-year survival rate is 56%."
198985000,Renal cancer,"Overview: Kidney cancer. In adults, renal cell carcinoma is the most common type of kidney cancer. Young children are more likely to develop a kind of kidney cancer called Wilms' tumor. Presentation: Symptoms present over time: blood in urine, back pain, loss of appetite, weight loss, fatigue and fever. Symptoms depend too on where the cancer spreads. Assessment: Blood and urine tests, imaging, kidney biopsy; grading and staging Plan: Surgery (nephrectomy), cryoablation, radiofrequency ablation, immunotherapy, radiation, chemotherapyPrognosis: When detected early, kidney cancer is curable most of the time. Even in more advanced stages, new therapies and procedures have led to much improved, overall cure rates."
199074000,Acute pancreatitis,"Overview: Sudden inflammation of the pancreas that may be mild or life threatening but usually subsides. Gallstones and alcohol abuse are the main causes of acute pancreatitis. Acute or chronic pancreatitis. Presentation: Severe, sudden abdominal pain or occurance over a few days - gets worse when food is eaten Assessment: Age, hx & physical, amylase and lipase, WBC and BUN (usually increased), Ultrasound, CT to show inflammation of the pancreas Plan: IV fluids, pain and nausea relief, nutrition support, and endoscopy or surgery Prognosis: Severe acute pancreatitis has a 20% mortallity rate. If large areas of destroyed pancreas, the Prognosis: is usually poor. Acute pancreatitis can recur or may progress to chronic pancreatitis."
201620000,Kidney stone,"Overview: Also called renal calculi, nephrolithiasis or urolithiasis are hard deposits made of minerals and salts that form inside the kidneys, but can develop anywhere along the urinary tract. Presentation: Severe pain (renal colic), usually in the side of the abdomen, N/V, blood in urine, can have fever and chills. If small kidney stone, may not have any pain or symptoms as the stone passes through the urinary tract. Assessment: History and physical, Blood tests (BUN and creatinine for kidney functioning), UA - Rule out obstruction - abdominal films, intravenous pyelogram (IVP), ultrasound of the kidney Plan: Pain relievers (narcotics) and drinking lots of water to help pass the stone. Medical procedures (lithotripsy) may be needed to remove or break up larger stones. Antibiotics if infection present. Large stones usually require surgical removal. Prognosis: Can have renal deterioration with certain stone types."
201820000,Diabetes Mellitus,Overview: Presentation: Assessment: Plan: Prognosis:
201965000,Shock,"Overview: Four types of non mutually exclusion shocks are recognized: distributive (septic, non septic - anaphylatic, neurogenic, SIRS), cardiogenic (cardiomyopathic - MI, arrythomogenic, mechanical), hypovolemic (hemorrhagic, non-hemorrhagic - diarrhoea, vomiting), and obstructive (pulmonary embolism, tension pneumothorax, pericardial tamponade, constrictive pericarditis). Cardiogenic shock is a subtype of shock phenotype where there is inability of the heart to pump an adequate amount of blood leading to decreased oxygen and nutrient delivery to the tissues and, if tissue perfusion reduction is prolonged, potentially end-organ damage and multi-system failure. Acute myocardial infarction (MI) with left ventricular failure is the most common cause of cardiogenic shock. Cardiogenic shock is the leading cause of death in patients with acute MI. Cardiogenic shock has persistent hypotension (systolic blood pressure <80 to 90 mmHg or mean arterial pressure 30 mmHg lower than baseline) with severe reduction in the cardiac index (<1.8 L/min per m2 without support or <2 to 2.2 L/min per m2 with support) with adequate filling pressures. Other causes of cardiogenic shock include acute mitral valve regurgitation, rupture of ventricular septal or free walls, cardiac tamponade. Septic shock is a subtype of shock phenotype with distributive type of shock. SIRS is a clinical syndrome that is characterized by a robust inflammatory response to infectious (or non infectious) insult. Sepsis, defined as a dysregulated host response to infection resulting in life-threatening organ dysfunction. There is a continuum of severity ranging from sepsis to septic shock. Staphylococcal toxic shock syndrome is a type of sepsis and a type of septic shock. Presentation: The cardinal features of shock, irrespective of shock type, include clinical manifestations of hypoperfusion such as hypotension (which occurs in most patients), oliguria, abnormal mental status, cold clammy skin, and evidence of metabolic acidosis on laboratory testing. The ""classic"" patient with cardiogenic shock has severe systemic hypotension, signs of systemic hypoperfusion (eg, cool extremities, oliguria, and/or alteration in mental status), and respiratory distress due to pulmonary congestion. Shock is a physiologic continumm that begins with inciting event that triggers physiological changes. Pre-shock/compensated shock is characterized by compensatory responses to diminished tissue perfusion - tachycardia, peripheral vasoconstriction, elevated systemic blood pressure. Shock - compensatory mechanisms are overwhelmed, organ dysfunction may start with dyspnea, restlessnes, diaphoresis, metabolic acidosis, hypotension. End-organ dysfunction including anuria, acute renal failure, acidemia, comma, death. Cardiogenic shock presentation is similar to other forms of shock (see shock phenotype) along with evidence of myocardial insult to explain the shock such as MI. Most patients who develop cardiogenic shock due to acute MI do so after hospital admission for MI because of eventual failure of intial compensatory mechanisms that protected the individual from hemodynamic failure with about 50% developing within 24 hours of infarct. Sepsis shock may be expected to have sepsis symptoms such as fever, tachycardia, elevated respiratory rate, abnormal white blood count, and severely ill looking. Assessment: find the cause, evaluate for septic or cardiogenic or other causes. Diagnosis of cardiogenic shock requires strong clinical judgment by looking for some combination of difficulty breathing, hypotension, hypoperfusion, pulmonary congestion - supported by ECG abnormalality, chest x ray with pulmonary congestion, and wall motion abnormality on echocardiogram. To identify infection in suspected sepsis - blood/urine/sputum cultures, wound cultures if a wound present, lumbar puncture if indicated clinically,lactate level. Plan: Treat as emergency. ICU admission, hemodynamic monitoring with pulmonary artery catheterization if needed, vasopressor drugs (norepinephrine, dopamine), supplemental oxygen/ventilatory support, pH managment of lactic acidosis. Treat the cause. Cardiogenic shock- diagnostic coronary angiography, attempt reperfusion of heart if MI, coronary artery revascularization. fluid replenishment, hemodynamic monitoring and management, airway management and ventillation. For sepsis - may need to start with broad spectrum antibiotics after cultures are drawn (even when pending), and then narrow antibiotics based on results of susceptibility testing. Prognosis: highly variable. Cardiogenic shock - early revascularization has better prognosis."
24609000,Hypoglycemia,"Overview: A condition in which blood sugar (glucose) level is lower than normal. A fasting blood sugar of 70 milligrams per deciliter (mg/dL), or below should serve as an alert for hypoglycemia (some people can be asymptomatic). Hypoglycemia is often related to diabetes treatment. Presentation: Fatigue, pale, shakiness, sweating, anxieety, hunger, irritability (as hypoglycemia worses the syptmos get worse - confusion, visual disturbances, seizures, loss of consciousnessAssessment: blood glucose meter, or blood glucose level Plan: Involves quickly getting the glucose level back to normal either with high-sugar foods or drinks or with medications. Glucose tablets, glucose gel, Glucagon (if severe), changing diabetic medsPrognosis: Hypoglycemia is considered severe if you need help from someone to recover. Long-term treatment requires identifying and treating the cause of hypoglycemia."
254443000,Sjögren's syndrome,"Overview: Sjogren's syndrome (SS) is a chronic autoimmune inflammatory disorder that is characterized by diminished lacrimal and salivary gland function. Primary form of SS occurs in isolation, while secondary forms maybe a complication or overlap with other rheumatic conditions, most commonly rheumatoid arthritis (RA) and systemic lupus erythematosus (SLE). Presentation: Sjogren’s syndrome is commonly associated with dryness and its sequela, pruritus, and in severe forms it may have extraglandular manifestations. Assessment: SS is suspected based on symptoms of persistent dry eyes, mouth, parotid gland enlargement, unexplained dental caries. Nonspecific but supportive of diagnosis are abnormal results of serologic tests - anti-Ro/SSA antibodies with or without anti-La/SSB antibodies. There is no single diagnostic test for SS. Plan: Ameliorate symptoms, prevent dryness related mucosal complicationsPrognosis: Chronic lifelong when not managed leads to reduced quality of life. With good management, DM induced end organ damage such as chronic kidney disease may be reduced."
255573000,Chronic obstructive lung disease,"Overview: COPD is a chronic inflammatory lung disease that causes obstructed airflow from the lungs. Emphysema and chronic bronchitis are the two most common conditions that contribute to COPD. Presentation: SOB,breathing difficulty, cough, mucus (sputum) production and wheezing, frequent respiratory infectionsAssessment: Signs and symptoms, medical history, exposure to lung irritants (cigarette smoke). Pulmonary functions tests, CXR, CT scan, ABGPlan: Smoking cessation. Oxygen therapy. Bronchodilators, inhaled or oral steroids, Phosphodiesterase-4 inhibitors, theophylline, antibiotics. Surgery for severe emphysemaPrognosis: Progressive disease that gets worse over time, but treatable. Can achieve good symptom control and quality of life."
255848000,Pneumonia,"Overview: Pneumonia is acute infection of pulmonary parenchyma. It is commonly dividied into two categories based on source of infection into Community-acquired pneumonia (CAP) - most common and nosocomial (hospital) acquired pneumonia. Presentation: cough, fever, pleuritic chest pain, dyspnea, and sputum. Leukocytosis, consolidation/interstial infiltrates on chest X-ray. Atypical pneumonia (mycoplasma pneumonia have milder presentation with cough)Assessment: history of hospitalization to determine if noscomial pneumonia. Determine the need to hospitalize vs outpatinet management. Plan: targeted antimicrobials after isolating pathogen is preferred, but rarely practical. Blood cultures may be positive in many hospitalized. S. pneumoniae is most common bacterial, while Influenza is common for viral pneumonia. Prognosis: treatment may lead to good recovery"
257628000,Systemic lupus erythematosus,"Overview: is a chronic autoimmune disease of unknown cause that can affect virtually any organ of the body with the production of antinuclear antibodies (ANA). Presentation: wide variations from mild joint/skin disease to life threatening multiorgan failure. There is a no pathognomonic feature. Constitutional symptoms of fatigue, fever is common. Mucocutaneous symptoms of such as butterfly rash are commonly described. Arthritis occurs in most of the patients. Assessment: Diagnosis requires clinical judgment and is based on presenting symptoms, clinician should exclude all other differential diagnosis, along with supportive laboratory finding of ANA positivity. There are multiple diagnostic aids (criteria). ANA negative lupus has been recognized. Plan: Several non-pharmacologic therapies has been proposed. Hydroxychloroquine is commonly used. Immunosuppressive therapy including methylprednisone, azathioprine is used in acute exacerbations. Belimumab is approved for use in SLE by FDA. Prognosis: The disease course involves unpredictable flares and remissions. This is a lifelong chronic disease that may progress to multi organ failure with some known prognostic indicators such as young age at onset, preexisting renal disease, race etc."
312939000,Thromboangiitis obliterans,"Overview: Previously known as Buerger's disease, TAO is characterized by a nonatherosclerotic (not due to cholesterol plaque), segmental inflammatory thrombotic vessel occlusions, that affects the small to medium-sized arteries and veins of the extremities (upper and lower). It is distinguished pathologically from other forms of vasculitis by a highly cellular, inflammatory intraluminal thrombus but no fibrinoid necrosis and the presence of an intact internal elastic membrane. Although smoking is important to the pathogenesis, the specific etiologic mechanism remains unknown. Inflammatory, immunologic, and endothelial factors play a role. Most common in young tobacco and marijuana smokers. Presentation: Ischemia of the distal extremities (fingers/toes/hands/feet), ischemic digit ulcers or digit gangrene. In people typically younger than age 45 years, the condition is distinguished from other forms of vasculitis by a highly cellular, inflammatory intraluminal thrombus with relative sparing of the vessel wall and, more specifically, sparing of the internal elastic lamina. Although distal vessel involvement causes distal ischemia in other vasculitides, serologic markers are negative in thromboangiitis obliterans. Assessment: Painful ulceration or ischemia of part or all of fingers/toes due to lack of blood supply not reversible with heat. Allen test (to evaluate for blood flow in the radial and ulnar artery) should be performed - if positive in the wrist of a young smoker is highy predictive of TAO. CBC, CMP, UA, serologies for sed rate, CRP, ANA, RF, complement, cryoglobulins, hyprecoagulability test, toxicology (cocaine, amphetamine, cannabis). Plan: Tobacco and/or marijuanna cessation. Calcium channel blockers, IV prostaglandins or phosphodiesterase inhibitorss to vasodilate. Interventional revascularization. Prognosis: Amputation of affected digits if medical therapy, revascularization and smoking cessation does not reverse the damages."
313459000,Sleep apnea,"Overview: A potentially serious sleep disorder in which breathing repeatedly stops and starts. Involuntary cessation of breathing that occurs while asleep. Presentation: snoring loudly and feeling tired even after a full night's sleep, dry mouth, insomnia, irritability. Assessment: sleep history, overnight monitoring at a sleep center (Nocturnal polysomnography)Plan: lifestyle changes, Continuous positive airway pressure (CPAP), oral appliances (keeping the throat open), surgery. Prognosis: Can be diagnosed and treated."
313800000,Thrombotic microangiopathy,"Overview: TMA is potentially life threatening condition due to abnormalities in the vessel wall of arterioles and capillaries leading to microvascular thrombosis. It almost always leads to microagniopathic hemolytic anemia (MAHA) and thrombocytopenia - but MAHA and thrombocytopenia may be caused by several other conditions. Before making diagnosis of TMA, other systemic disorders that can cause MAHA and thrombocytopenia need to be excluded including - HELLP syndrome, systemic malignanices, sepsis and systemic infections, systemic rheumatic disorders like SLE, systemic sclerosis, stem cell or organ transplant, DIC etc. TMA is classified into two main types, Primary TMA (heriditary thrombotic thrombocytopenic purpura TTP, acquired TTP, shiga toxin mediated hemolytic uremic syndrome (ST-HUS), drug-induced TMA (DITMA) sydrome, complement-mediated TMA. DITMA is an acquired condition resulting from exposure to a drug (eg, medication, other substance) that induces formation of drug-dependent antibodies or causes direct tissue toxicity that results in the formation of platelet-rich thrombi in small arterioles or capillaries. Presentation: Common initial presentations include unexplained anemia or thrombocytopenia, unexplained neurologic findings (suspected stroke or transient ischemic attack), or other acute illness. Diarrhoes if ST-HUS. Assessment: peripheral smear to confirm anemia, hemolysis and/or thrombocytopenia. Tissue biopsy (usually of kidney) is required for pathologic diagnosis, but clinical diagnosis is commonly performed by the observation of microagniopathic hemolytic anemia (MAHA) and thrombocytopenia. LDH, evaluate for shiga toxin (especially in the presence of hemolytic uremic syndrome), serum creatinine, urine output daily. Exclude other systemic disorder (HELLP). Plan: Treatment of underlyng condition, plasma exchange, or anti-complement therapy. revascularization for cardiac microangiopathy. platelet transfusion for severe thrombocytopenia, red blood cell transfusion for severe anemia. Prognosis: Poor in the absence of therapy, including myocardial ischemia, renal failure."
316139000,Heart failure,"Overview: For use of generic term, 'heart failure' consider the cohort definition for 'acute decompensated left heart failure' that is managed as an emergency. The other cohort definition options include chronic stable compensated left heart failure, corpulmonale (right heart failure) with pulmonary hypertension. Heart Failure is a clinical syndrome of dyspnea, fatigue and fluid retention because of the inability of the heart to pump sufficient blood to meet the metabolic demands of peripheral tissues, or ability to do so only at abnormally high cardiac filling pressures. Classified in many ways, low output vs high output cardiac failure, left-side vs right-side cardiac failure, backward vs forwad cardiac failure, systolic vs diastolic cardiac failure, based on ejection fraction (< 40%, 40 to 49%, >= 50% HF with presevered ejection fraction), functional level (Class 1 to 4 - symptoms at rest). Congestive heart failure is left-sided heart failure and is associated with pulmonary edema. Presentation: From pulmonary edema such as Progressive dyspnea, paroxysmal noctural dysnpnea, orthopnea, abdominal or peripheral congestion/edema, tiredness, dizziness. In some cases of chronic compensated heart failure, the patient may be asymptomatic. Assessment: Evaluate the cause (including precipitating cause if acute on chronic) with extensive investigation on incident acute heart failure. BNP, ProBNP, ECG, ECHO to measure ejection fraction and wall motion abnormalities, CXR, catheterization, stress test, sleep study etc. Assess grade based on NYHA. Plan: depends on the type of cardiac failure. Congestive heart failure - diuresis, morphine, nitrates, oxygen NIV, position. For low perfusion - inotropes, mechanical support. In addition care cordination and cardiac rehabilitation, goal of treatment is to improve quality of life and reduce hospitalization, slow progression. Diuretics, beta blockers, ACE-/ARBs are part of initial therapy. Manage complications such as arrythmia with need for defibrillator and anticoagulants, heart transplant. Prognosis: depends on grade, progression and presence of complications. Life long chronic disease. If well managed, can lead to compensated aymptomatic state."
316866000,Hypertensive disorder,"Overview: A condition in which the force of the blood against the artery walls is too high. Elevated or increased blood pressure (BP); High blood pressure; Hypertension (HTN); Systemic hypertension. Primary (essential) hypertension and Seconday hypertension (caused by and underlying condition). Presentation: No signs and symptoms. can have headaches, SOB or nosebleeds (these occur when blood pressure reaches a severe stage). Assessment: Stage 1 HTN - systolic pressure ranging from 130 to 139 mm Hg or a diastolic pressure ranging from 80 to 89 mm Hg; and Stage 2 - systolic pressure of 140 mm Hg or higher or a diastolic pressure of 90 mm Hg or higher. 2 - 3 BP readings each at three or more separate appointments before diagnosing. Plan: Lifestyle, medications - Thiazide diuretics, Angiotensin-converting enzyme (ACE) inhibitors, Angiotensin II receptor blockers (ARBs), calcium channel blockers, alpha-beta blockers (many other meds). Prognosis: If untreated, it can cause health conditions, such as heart disease and stroke."
